county,fips,county_fips,boe_total_av_millions,residential_fraction,boe_residential_av_millions,zillow_median_value,owner_occupied_units,median_income,census_median_value,census_aggregate_value,census_aggregate_taxes,market_value_millions,residential_av_millions,assessment_ratio,tax_gap_annual_millions,tax_gap_per_household,tax_gap_pct_market
Alameda,06001,001,352000,0.72,253440.0,1065341.32713469,317451,122488,999200,366023813600,2754706900,366023.8136,250427.9,0.6841847188491236,1271.5550495999998,4005.5159681336645,31.581528115087643
Alpine,06003,003,500,0.85,425.0,496538.61020221375,360,101125,463900,235732900,1487300,235.7329,135.20909090909092,0.5735690304963411,1.1057618999999999,3071.560833333333,42.64309695036589
Amador,06005,005,10000,0.85,8500.0,409646.6747606985,12440,74853,409600,6285757500,38356100,6285.7575,3486.918181818182,0.5547331696805329,30.787232499999995,2474.8579180064307,44.52668303194671
Butte,06007,007,25000,0.78,19500.0,396476.5952451918,48424,66085,371600,20545982200,146618200,20545.9822,13328.927272727275,0.6487364363007808,79.38760419999996,1639.4268172806865,35.12635636992192
Calaveras,06009,009,12000,0.85,10200.0,425902.5373469982,14114,77526,404200,6560376100,48768300,6560.3761,4433.481818181818,0.6757968980134871,23.3958371,1657.633349865382,32.42031019865129
Colusa,06011,011,7000,0.5,3500.0,362950.5133525203,4686,69619,360100,2009110000,12422100,2009.11,1129.2818181818182,0.5620806318130008,9.678109999999998,2065.324370465215,43.79193681869992
Contra Costa,06013,013,249000,0.74,184260.0,776977.0916316899,274388,120020,787300,272062145200,2139963100,272062.1452,194542.1,0.7150649343626508,852.7204972000002,3107.7178929107695,28.493506563734915
Del Norte,06015,015,3000,0.82,2460.0,357450.24298572424,6492,61149,282500,2253908400,14634000,2253.9084,1330.3636363636365,0.5902474281402192,10.158992399999995,1564.8478743068383,40.97525718597807
El Dorado,06017,017,41000,0.82,33620.0,642659.6942511642,57235,99246,597600,38419642000,283753900,38419.642,25795.809090909093,0.6714224221794959,138.86216199999996,2426.175626801781,32.85775778205041
Fresno,06019,019,69000,0.65,44850.0,404097.3114891119,172455,67756,338200,68073355400,534796600,68073.3554,48617.87272727273,0.7141982709915417,214.0103094,1240.963204314169,28.580172900845835
Glenn,06021,021,5000,0.5,2500.0,354423.1036490241,5906,64033,295400,2288838700,15030300,2288.8387,1366.3909090909092,0.5969799921204186,10.146925699999995,1718.0707246867585,40.302000787958136
Humboldt,06023,023,18000,0.78,14040.0,425467.5940192177,30965,57881,386000,13895774200,87507700,13895.7742,7955.245454545455,0.5724938632455221,65.34581619999999,2110.312165347973,42.75061367544779
Imperial,06025,025,18000,0.6,10800.0,370626.65583399753,27122,53847,256000,7819201700,66771500,7819.2017,6070.136363636364,0.7763115208597784,19.23971869999999,709.376841678342,22.36884791402216
Inyo,06027,027,6000,0.7,4200.0,512521.9940959544,5178,63417,325900,1713117400,10906800,1713.1174,991.5272727272727,0.5787853609608266,7.937491400000001,1532.926110467362,42.121463903917345
Kern,06029,029,74000,0.62,45880.0,358483.53226364776,165473,63883,282800,53900377900,513248500,53900.3779,46658.95454545455,0.8656517145764678,79.65565689999993,481.3815963933689,13.434828542353216
Kings,06031,031,12000,0.6,7200.0,357460.76120728086,23924,68540,281400,7558979700,58235400,7558.9797,5294.127272727273,0.7003759082363024,24.913376699999997,1041.3549866243102,29.962409176369764
Lake,06033,033,9000,0.82,7380.0,302571.11057821027,18420,56259,291300,6719155100,44681300,6719.1551,4061.936363636364,0.604530823173938,29.22940609999999,1586.8298642779582,39.5469176826062
Lassen,06035,035,4000,0.7,2800.0,225508.20414074,6131,59515,233100,1595720100,12007500,1595.7201,1091.5909090909092,0.6840741738422104,5.545421099999998,904.488843581797,31.592582615778962
