fips,zillow_median_value
06037,878850.9529658627
06073,928459.2163216798
06059,1169742.5563362828
06065,603212.6542079329
06071,547153.1817439556
06085,1647223.959195869
06001,1065341.32713469
06067,523100.3289936354
06013,776977.0916316899
06019,404097.3114891119
06029,358483.53226364776
06075,1299354.7910056678
06111,870004.7635595113
06077,527497.8752869287
06081,1566741.1178553551
06099,461630.50661767414
06097,782003.1605539117
06107,356157.441149032
06095,572737.6141938915
06083,975729.55133959
06053,833014.3451540633
06061,678376.6688252332
06079,889464.4254584356
06047,412987.536544895
06087,1122722.7508718509
06041,1429486.1914992228
06007,396476.5952451918
06113,616168.1000474113
06017,642659.6942511642
06089,367421.6390657276
06025,370626.65583399753
06039,418569.3834319144
06031,357460.76120728086
06055,886117.0162349028
06023,425467.5940192177
06057,598357.2318859486
06101,432116.7719847237
06045,496618.8091822372
06115,413592.14716037986
06033,302571.11057821027
06103,312601.42072339816
06069,766022.307834363
06109,385454.5694106717
06009,425902.5373469982
06093,274883.41475637717
06005,409646.6747606985
06035,225508.20414074
06021,354423.1036490241
06015,357450.24298572424
06011,362950.5133525203
06063,350666.28736490244
06027,512521.9940959544
06043,386844.4670115555
06105,247949.1252533033
06051,749080.0976987613
06049,183426.8547856639
06091,321362.89128755825
06003,496538.61020221375
